12,tropical wet,#5B1A1D
11,tropical mountain,#952C05
10,tropical moist,#DA9F28
9,tropical dry,#F4FF81
8,warm temperature moist,#BBF53B
7,warm temperature dry,#D7FD4E
6,cool temperature moist,#496C19
5,cool temperature dry,#B0FB3B
4,boreal moist,#7B9FFC
3,boreal dry,#A4C8FA
2,polar moist,#C4DAD5
1,polar dry,#F4FEFC
